time,altitude,velocity,acceleration
0.01,0.003019,0.3019,30.19
0.02,0.00905699,0.603799,30.1899
0.03,0.018114,0.905697,30.1898
0.04,0.0301899,1.20759,30.1895
0.05,0.0452847,1.50948,30.1891
0.06,0.0633984,1.81137,30.1886
0.07,0.0845309,2.11325,30.188
0.08,0.108682,2.41512,30.1873
0.09,0.135852,2.71699,30.1864
0.1,0.16604,3.01884,30.1855
0.11,0.199247,3.32069,30.1844
0.12,0.235472,3.62252,30.1832
0.13,0.274716,3.92434,30.182
0.14,0.316977,4.22614,30.1806
0.15,0.362257,4.52793,30.1791
0.16,0.410554,4.82971,30.1774
0.17,0.461868,5.13147,30.1757
0.18,0.5162,5.4332,30.1739
0.19,0.57355,5.73492,30.1719
0.2,0.633916,6.03662,30.1699
0.21,0.697299,6.3383,30.1677
0.22,0.763698,6.63995,30.1654
0.23,0.833114,6.94158,30.163
0.24,0.905546,7.24319,30.1605
0.25,0.980994,7.54477,30.1579
0.26,1.05946,7.84632,30.1551
0.27,1.14094,8.14784,30.1523
0.28,1.22543,8.44933,30.1493
0.29,1.31294,8.7508,30.1463
0.3,1.40346,9.05223,30.1431
0.31,1.49699,9.35363,30.1398
0.32,1.59354,9.65499,30.1364
0.33,1.69311,9.95632,30.1329
0.34,1.79568,10.2576,30.1293
0.35,1.90127,10.5589,30.1256
0.36,2.00987,10.8601,30.1217
0.37,2.12149,11.1613,30.1178
0.38,2.23611,11.4624,30.1137
0.39,2.35375,11.7635,30.1095
0.4,2.47439,12.0645,30.1052
0.41,2.59805,12.3656,30.1008
0.42,2.72471,12.6665,30.0963
0.43,2.85439,12.9674,30.0917
0.44,2.98707,13.2683,30.087
0.45,3.12276,13.5691,30.0822
0.46,3.26146,13.8699,30.0772
0.47,3.40317,14.1706,30.0722
0.48,3.54788,14.4713,30.067
0.49,3.6956,14.7719,30.0617
0.5,3.84632,15.0725,30.0563
0.51,4.00005,15.373,30.0509
0.52,4.15679,15.6734,30.0452
0.53,4.31652,15.9738,30.0395
0.54,4.47927,16.2742,30.0337
0.55,4.64501,16.5744,30.0278
0.56,4.81376,16.8747,30.0217
0.57,4.98551,17.1748,30.0156
0.58,5.16025,17.4749,30.0093
0.59,5.338,17.7749,30.003
0.6,5.51875,18.0749,29.9965
0.61,5.7025,18.3748,29.9899
